"TIPO CAPACITACIÓN (CURSO, TALLER)","MODALIDAD (PRESENCIAL, VIRTUAL)",TEMÁTICA DEL CURSO O TALLER,COMPONENTE SNA,FECHA DE REALIZACIÓN,Mes,Trimestre,Género,Edad,Nivel de Gobierno (de la entidad),Departamento (donde se ubica la entidad - UE),¿A qué sector pertenece su entidad?,Área donde labora en la entidad,Puesto que ocupa en la entidad,Las funciones / actividades principales que desarrolla en el puesto están relacionadas a:,Estudios,¿CUÁL ES SU MODALIDAD DE CONTRATACIÓN EN LA ENTIDAD?,Nombre de la entidad (Unidad Ejecutora),Codigo UE,persona_id
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-23,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Local,Arequipa,Gobiernos Locales,Logística,Sub Gerente,Gestión de Adquisiciones,Superior Universitario,CAS,Municipalidad Provincial de Caylloma,300395,b36b3ad7bbb2
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Local,Pasco,Gobiernos Locales,Abastecimiento,Coordinador,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior No Universitario,CAS,Municipalidad Provincial de Oxapampa,301522,31e1f6adead4
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 41 y 50 años,Local,Junín,Gobiernos Locales,Logística,Especialista,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,CAS,MUNICIPALIDAD DISTRITAL DE PICHANAQUI,301048,c7aaf219de3f
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 20 y 30 años,Local,Pasco,Gobiernos Locales,Logística,Asistente,"Planeamiento y Programación, Gestión de Adquisiciones, Otras actividades",Superior No Universitario,Otros,Municipalidad Distrital de Ninacaca,301505,a1fefd33132b
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 20 y 30 años,Local,Junín,Gobiernos Locales,Logística,Asistente,Planeamiento y Programación,Superior No Universitario,CAS,MUNICIPALIDAD PROVINCIAL DE YAULI LA OROYA,301108,06ff1f951b3d
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 41 y 50 años,Local,Pasco,Gobiernos Locales,Logística,Jefe,"Planeamiento y Programación, Gestión de Adquisiciones",Superior Universitario,CAS,Municipalidad Distrital de Huancabamba,301524,8d527726d0a9
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 51 y 60 años,Nacional,Ayacucho,Educación,Contabilidad,Coordinador,Otras actividades,Superior Universitario,DL 276,Universidad Nacional de San Cristóbal de Huamanga (UNSCH),94,0c2f05c31ded
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 51 y 60 años,Local,Junín,Otros,Programación,Jefe,"Planeamiento y Programación, Otras actividades",Superior Universitario,Otros,MUNICIPALIDAD DISTRITAL DE PALCA,301103,6647910e4837
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 20 y 30 años,Nacional,Pasco,Educación,Administración,Especialista,Otras actividades,Superior Universitario,Otros,Universidad Nacional Daniel Alcides Carrión (UNDAC),105,82e2de014688
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 41 y 50 años,Regional,Ayacucho,Agricultura y Riego,Abastecimiento,Administrativo,Administración de Bienes Muebles - Patrimonio,Superior No Universitario,DL 276,Dirección Regional Agraria Ayacucho,771,c852e2f48921
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 20 y 30 años,Local,Pasco,Gobiernos Locales,Logística,Jefe,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución",Superior Universitario,CAS,Municipalidad Distrital de Palcazú,301525,4c581bdf2c9b
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 41 y 50 años,Regional,Ayacucho,Agricultura y Riego,Abastecimiento,Asistente,Otras actividades,Superior Universitario,Otros,Dirección Regional Agraria Ayacucho,771,a030a92fb402
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 41 y 50 años,Local,Cajamarca,Gobiernos Locales,Abastecimiento,Especialista,Gestión de Adquisiciones,Superior Universitario,CAS,Municipalidad Provincial de Cajamarca,300549,ebe4d2c061cb
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Local,Cajamarca,Gobiernos Locales,Abastecimiento,Jefe,Gestión de Adquisiciones,Superior Universitario,CAS,Municipalidad Distrital de Lajas,300587,8ae24882e322
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 20 y 30 años,Regional,Tumbes,Gobiernos Regionales,Patrimonio,Asistente,Administración de Bienes Muebles - Patrimonio,Superior Universitario,CAS,Gobierno Regional Tumbes,936,493c9ba5a2fb
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 20 y 30 años,Regional,Cajamarca,Economía y Finanzas,Logística,Asistente,Otras actividades,Superior Universitario,Otros,Sub Región III Chota,776,f7f164813421
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Local,Cajamarca,Gobiernos Locales,Abastecimiento,Jefe,Gestión de Adquisiciones,Superior Universitario,CAS,Municipalidad Distrital de Querocoto,300592,3d63b820fcab
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Regional,Cajamarca,Gobiernos Locales,Logística,Jefe,Gestión de Adquisiciones,Superior Universitario,CAS,Municipalidad Distrital de Llama,300588,e7680cfd0d1f
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Local,Cajamarca,Economía y Finanzas,Adquisiciones,Asistente,Gestión de Adquisiciones,Superior No Universitario,CAS,Municipalidad Distrital de Sorochuco,300574,1e273db2fb85
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Regional,Cajamarca,Gobiernos Regionales,Adquisiciones,Especialista,Gestión de Adquisiciones,Superior Universitario,Otros,Unidad Ejecutora - Programas Regionales Pro Región,1335,8757f3dce086
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 20 y 30 años,Regional,Cajamarca,Salud,Logística,Asistente,Gestión de Adquisiciones,Superior No Universitario,DL 276,Dirección Sub Regional de Salud Cutervo,787,07a635407f07
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Regional,Cajamarca,Educación,Abastecimiento,Asistente,Otras actividades,Superior No Universitario,CAS,Unidad de Gestión Educativa de San Ignacio,1168,0f6abe6ddd4f
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Local,Cajamarca,Gobiernos Locales,Logística,Asistente,Gestión de Adquisiciones,Superior Universitario,CAS,Municipalidad Distrital de Chiguirip,300581,a8e8b8fd1730
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Regional,Cajamarca,Gobiernos Regionales,Logística,Asistente,Gestión de Adquisiciones,Superior Universitario,DL 276,DIRECCION SUB REGIONAL DE SALUD CUTERVO,787,431b6448c6a9
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 20 y 30 años,Local,Cajamarca,Gobiernos Locales,Logística,Operador Siga,"Planeamiento y Programación, Otras actividades",Superior Universitario,Otros,Municipalidad Distrital de Querocoto,300592,1d0e9856213f
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Nacional,Cajamarca,Educación,Logística,Analista,Planeamiento y Programación,Superior Universitario,Otros,Universidad Nacional de Cajamarca (UNC),100,2217be74b570
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 41 y 50 años,Regional,Cajamarca,Gobiernos Regionales,Almacén,Asistente,Otras actividades,Superior Universitario,CAS,Dirección Regional de Salud Cajamarca,785,65a3351fc6df
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Regional,Cajamarca,Salud,Oite,Jefe,"Planeamiento y Programación, Otras actividades",Superior Universitario,DL 276,RED DE SALUD CAJABAMBA,1744,d819bdea5426
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 41 y 50 años,Nacional,Cajamarca,Educación,Planificación Estratégica Y Presupuesto,Especialista,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles, Otras actividades",Superior Universitario,CAS,MINISTERIO DE EDUCACIÓN,79,8358da93adfe
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Regional,Cajamarca,Salud,Logística,Asistente,Administración de Bienes Inmuebles,Superior Universitario,DL 276,Unidad Ejecutora - Salud San Ignacio,1654,d789f82b011a
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Regional,Cajamarca,Salud,Administración,Residente Siga,Otras actividades,Superior Universitario,CAS,Unidad Ejecutora - Red de Salud Cajamarca,1712,c6b51907be27
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Regional,Cajamarca,Educación,Abastecimiento,Jefe,Gestión de Adquisiciones,Superior Universitario,CAS,Unidad de Gestión Educativa Local de la Provincia de Hualgayoc,1355,679e97dc679a
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Regional,Cajamarca,Salud,Logística,Asistente,Gestión de Adquisiciones,Superior No Universitario,DL 276,Dirección Regional de Educación Cajamarca,781,8fc79c55233a
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 20 y 30 años,Regional,Tumbes,Gobiernos Regionales,Adquisiciones,Asistente,Gestión de Adquisiciones,Superior Universitario,Otros,Gobierno Regional Tumbes,936,deb0aab60b7c
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 20 y 30 años,Regional,Tumbes,Gobiernos Regionales,Administración,Analista,Planeamiento y Programación,Superior Universitario,Otros,Gobierno Regional Tumbes,936,2ed338fdd354
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 41 y 50 años,Regional,Cajamarca,Gobiernos Regionales,Programación,Asistente,Planeamiento y Programación,Superior No Universitario,DL 276,Hospital Regional Docente de Cajamarca,999,67cc3f18ac77
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Regional,Cajamarca,Educación,Abastecimiento,Jefe,Planeamiento y Programación,Superior Universitario,CAS,Unidad de Gestión Educativa Local de Contumazá,1382,16ee9c4bb6c3
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Nacional,Cajamarca,Educación,Abastecimiento,Jefe,"Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,CAS,Universidad Nacional Autónoma de Cutervo,1771,2a0581771aee
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Local,Cajamarca,Gobiernos Locales,Abastecimiento,Jefe,"Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles, Otras actividades",Superior Universitario,CAS,Municipalidad Distrital de Huambos,300586,820ff69e53e4
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Regional,Cajamarca,Educación,Adquisiciones,Especialista,Gestión de Adquisiciones,Superior Universitario,CAS,Unidad de Gestión Educativa Local de la Provincia de Hualgayoc,1355,7a384ade26be
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 41 y 50 años,Regional,Cajamarca,Educación,Administración,Jefe,Otras actividades,Superior Universitario,DL 276,Unidad de Gestión Educativa Local de Santa Cruz,1353,5391ff25bd13
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Local,Cajamarca,Gobiernos Locales,Adquisiciones,Especialista,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles, Otras actividades",Superior Universitario,CAS,Municipalidad Provincial de Cajamarca,300549,f220732749fc
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Regional,Cajamarca,Salud,Adquisiciones,Asistente,Gestión de Adquisiciones,Superior Universitario,CAS,Unidad Ejecutora - Salud San Ignacio,1654,8730eda85388
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Local,Cajamarca,Gobiernos Locales,Abastecimiento,Especialista,"Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución",Superior Universitario,Otros,Municipalidad Distrital de Eduardo Villanueva,300644,41a2ecec2374
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Local,Cajamarca,Gobiernos Locales,Logística,Sub Gerente,Gestión de Adquisiciones,Superior Universitario,CAS,Municipalidad Distrital de Oxamarca,300573,ce81668aafa8
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 41 y 50 años,Local,Cajamarca,Gobiernos Locales,Abastecimiento,Jefe,Gestión de Adquisiciones,Superior Universitario,CAS,Municipalidad Distrital de Santo Tomás,300617,97ddbe8319cc
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 51 y 60 años,Local,Tumbes,Gobiernos Locales,Logística,Sub Gerente,"Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles, Otras actividades",Superior No Universitario,CAS,MUNICIPALIDAD DISTRITAL DE LA BREA,301583,52d7d164023f
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 20 y 30 años,Local,Cajamarca,Gobiernos Locales,Abastecimiento,Asistente,Gestión de Adquisiciones,Superior Universitario,Otros,Municipalidad Provincial de San Pablo,300662,f94dfa818145
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Regional,Cajamarca,Salud,Administración,Director,"Planeamiento y Programación, Gestión de Adquisiciones",Superior Universitario,DL 276,Hospital Regional Docente de Cajamarca,999,33aed8f520e8
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Nacional,Cajamarca,Educación,Abastecimiento,Especialista,Gestión de Adquisiciones,Superior Universitario,Otros,Universidad Nacional de Cajamarca (UNC),100,b2742a33cd5f
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 41 y 50 años,Regional,Cajamarca,Gobiernos Regionales,Abastecimiento,Especialista,Gestión de Adquisiciones,Superior Universitario,Otros,Dirección Regional de Agricultura de Cajamarca,779,9b6b3d654d3c
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Femenino,Entre 31 y 40 años,Regional,Cajamarca,Gobiernos Locales,Abastecimiento,Especialista,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,CAS,Unidad de Gestión Educativa Local de San Pablo,1384,097563271a86
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 20 y 30 años,Local,Cajamarca,Gobiernos Locales,Abastecimiento,Analista,Gestión de Adquisiciones,Superior Universitario,Otros,Municipalidad Provincial de San Miguel,300649,2a53b3e849e4
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 20 y 30 años,Local,Cajamarca,Gobiernos Locales,Abastecimiento,Asistente,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,CAS,Municipalidad Distrital de San Luis,300664,bdb9b506b6b0
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 31 y 40 años,Local,Cajamarca,Gobiernos Locales,Logística,Jefe,"Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio, Administración de Bienes Inmuebles",Superior Universitario,CAS,Municipalidad Distrital de Santo Domingo de la Capilla,300616,edd745b442a1
TALLER,VIRTUAL,"Directiva N° 0010-2025-EF/54.01, “Directiva para la solicitud de creación de ítems en el Catálogo de Bienes, Servicios y Obras del SIGA MEF” ","Programación Multianual de Bienes, Servicios y Obras",2026-01-26,2026-01,I Trimestre,Masculino,Entre 20 y 30 años,Regional,Cajamarca,Gobiernos Regionales,Abastecimiento,Especialista,"Planeamiento y Programación, Gestión de Adquisiciones, Administración de Bienes Muebles - Almacenamiento y Distribución, Administración de Bienes Muebles - Patrimonio",Superior Universitario,CAS,UNIDAD DE GESTION EDUCATIVA LOCAL CUTERVO,783,22b6a24374fe
